epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.085,2.07082,4.04226,2.06865,0.00479,0.64236,0.10052,0.03265,2.00575,4.29784,2.15376,0.000296114,0.000296114,0.000296114
2,223.27,1.95589,3.45933,1.99678,0.6911,0.09183,0.13245,0.0519,2.19846,3.87999,2.37922,0.000587251,0.000587251,0.000587251
3,333.485,1.90867,3.23912,1.96609,0.40137,0.152,0.13701,0.04473,2.36905,4.10286,2.5803,0.00086639,0.00086639,0.00086639
4,443.48,1.87385,3.04888,1.96692,0.30792,0.23998,0.16755,0.06018,2.26145,5.23842,2.46339,0.000855005,0.000855005,0.000855005
5,553.133,1.90194,2.96649,1.96353,0.1774,0.28991,0.14984,0.0609,2.16893,4.32782,2.40589,0.000837007,0.000837007,0.000837007
6,2101.9,1.89801,2.86847,1.93689,0.3434,0.35371,0.2326,0.08919,2.10146,3.17336,2.32254,0.000819009,0.000819009,0.000819009
7,2211.27,1.84759,2.75608,1.89913,0.34109,0.39965,0.32117,0.1301,2.04578,2.89948,2.18817,0.000801011,0.000801011,0.000801011
8,2320.92,1.79096,2.68598,1.86745,0.23792,0.36572,0.24223,0.09857,1.98183,3.23303,2.15404,0.000783013,0.000783013,0.000783013
9,2431.11,1.80751,2.60872,1.86899,0.30097,0.3399,0.27748,0.11686,1.9689,2.74273,2.10146,0.000765014,0.000765014,0.000765014
10,2541.63,1.74438,2.48115,1.81396,0.43603,0.37726,0.33886,0.14344,2.01786,2.73273,2.1016,0.000747016,0.000747016,0.000747016
11,2651.5,1.79181,2.45868,1.83584,0.40222,0.42375,0.35382,0.14675,1.98248,2.70164,2.13484,0.000729018,0.000729018,0.000729018
12,2761.12,1.7405,2.3799,1.82653,0.39639,0.36594,0.34495,0.13696,2.05091,2.84603,2.15668,0.00071102,0.00071102,0.00071102
13,2872.5,1.72968,2.32727,1.78953,0.42742,0.38932,0.39862,0.18647,1.92461,2.40307,2.04063,0.000693022,0.000693022,0.000693022
14,4857.51,1.68021,2.20669,1.74881,0.46034,0.44568,0.38999,0.18461,1.88133,2.53818,2.01206,0.000675023,0.000675023,0.000675023
15,4970.23,1.70861,2.20106,1.75763,0.45023,0.47981,0.44739,0.21525,1.93284,2.33691,2.03984,0.000657025,0.000657025,0.000657025
16,5083.9,1.65468,2.15343,1.7172,0.53237,0.43956,0.42908,0.20081,1.86011,2.38617,1.98804,0.000639027,0.000639027,0.000639027
17,5249.96,1.6451,2.15313,1.71403,0.57109,0.46514,0.47855,0.22143,1.8928,2.27517,2.04975,0.000621029,0.000621029,0.000621029
18,5438.66,1.63737,2.09065,1.7167,0.52067,0.4859,0.4562,0.21221,1.88797,2.30628,2.02176,0.000603031,0.000603031,0.000603031
19,5622.17,1.61247,2.03957,1.67574,0.4289,0.47454,0.42716,0.19384,1.93846,2.41374,2.06671,0.000585032,0.000585032,0.000585032
20,5812.27,1.60119,2.00035,1.69764,0.50323,0.51621,0.47078,0.22304,1.84947,2.29485,1.99036,0.000567034,0.000567034,0.000567034
21,5998.95,1.59223,1.94604,1.6611,0.46811,0.49805,0.46263,0.2242,1.88301,2.21769,2.00795,0.000549036,0.000549036,0.000549036
22,6190.27,1.55374,1.91227,1.64663,0.55244,0.45093,0.49209,0.24892,1.84679,2.06574,1.99141,0.000531038,0.000531038,0.000531038
23,6363.65,1.58723,1.89751,1.64863,0.49193,0.4392,0.44208,0.20061,1.92079,2.20305,2.03224,0.00051304,0.00051304,0.00051304
24,6553.29,1.5571,1.87013,1.64369,0.61104,0.47573,0.51084,0.23661,1.83499,2.22887,2.03073,0.000495041,0.000495041,0.000495041
25,6737.24,1.55164,1.83374,1.62556,0.47709,0.54797,0.4957,0.23527,1.86268,2.10239,2.02901,0.000477043,0.000477043,0.000477043
26,6915.95,1.51947,1.77991,1.60964,0.49732,0.55076,0.50844,0.25287,1.83188,2.05779,1.97026,0.000459045,0.000459045,0.000459045
27,7094.08,1.49387,1.75169,1.5977,0.52533,0.55902,0.52213,0.24892,1.86792,2.00274,1.96666,0.000441047,0.000441047,0.000441047
28,7272.7,1.49794,1.70834,1.59639,0.53096,0.5053,0.49652,0.23859,1.83677,2.11003,1.95656,0.000423049,0.000423049,0.000423049
29,7453.56,1.49699,1.73009,1.58458,0.44957,0.58004,0.49101,0.23919,1.89161,2.00107,2.01924,0.00040505,0.00040505,0.00040505
30,7630.7,1.47797,1.67575,1.57214,0.54683,0.50994,0.52779,0.25906,1.84737,1.98788,1.95008,0.000387052,0.000387052,0.000387052
31,7807.59,1.47081,1.64755,1.56641,0.59021,0.53974,0.51947,0.25188,1.87272,2.00779,1.99566,0.000369054,0.000369054,0.000369054
32,7994.34,1.46067,1.61656,1.56715,0.55318,0.5276,0.53797,0.24749,1.89673,1.96579,1.98648,0.000351056,0.000351056,0.000351056
33,8171.66,1.39077,1.57945,1.50594,0.54153,0.58058,0.5321,0.26107,1.86624,1.9437,2.00906,0.000333058,0.000333058,0.000333058
34,8350.58,1.43222,1.59851,1.5382,0.59136,0.51985,0.54523,0.27719,1.87096,1.90954,2.00358,0.000315059,0.000315059,0.000315059
35,8529.64,1.40607,1.56533,1.51922,0.54342,0.57324,0.51617,0.25949,1.87192,1.9685,2.0165,0.000297061,0.000297061,0.000297061
36,8706.51,1.38471,1.51782,1.49967,0.57372,0.55176,0.56825,0.27451,1.85599,1.91912,1.97872,0.000279063,0.000279063,0.000279063
37,8884.16,1.37267,1.51442,1.49377,0.60121,0.55996,0.55901,0.27456,1.89034,2.00402,2.01757,0.000261065,0.000261065,0.000261065
38,9058.79,1.35795,1.48321,1.48238,0.59648,0.56466,0.57653,0.28743,1.87636,1.88161,2.00265,0.000243067,0.000243067,0.000243067
39,9241.1,1.35963,1.41056,1.48521,0.56331,0.56756,0.55217,0.27896,1.88216,1.88788,2.00085,0.000225068,0.000225068,0.000225068
40,9420.55,1.33309,1.40227,1.47013,0.56828,0.53558,0.5504,0.26741,1.91678,1.92238,2.04391,0.00020707,0.00020707,0.00020707
41,9595.29,1.39376,1.39602,1.55663,0.58132,0.53787,0.55936,0.28236,1.85764,1.96149,2.01199,0.000189072,0.000189072,0.000189072
42,9770.91,1.32828,1.30414,1.53518,0.56522,0.58239,0.55591,0.2886,1.85494,1.91925,1.98983,0.000171074,0.000171074,0.000171074
43,9950.04,1.28311,1.26821,1.48197,0.61641,0.53832,0.54608,0.28087,1.88878,1.91712,1.99951,0.000153076,0.000153076,0.000153076
44,10123.9,1.25724,1.21575,1.46904,0.62706,0.53874,0.56504,0.29567,1.86746,1.86446,2.00347,0.000135077,0.000135077,0.000135077
45,10269.6,1.27295,1.20367,1.47377,0.62276,0.54721,0.56035,0.28322,1.89718,1.8622,2.02304,0.000117079,0.000117079,0.000117079
46,10457.3,1.23532,1.19269,1.45306,0.59214,0.5588,0.57466,0.29539,1.88903,1.82571,2.02546,9.9081e-05,9.9081e-05,9.9081e-05
47,10643.6,1.19671,1.14313,1.42009,0.69932,0.53256,0.58444,0.29472,1.8685,1.86296,2.01555,8.10828e-05,8.10828e-05,8.10828e-05
48,10822.9,1.22082,1.13397,1.41712,0.61711,0.55588,0.57125,0.29176,1.87949,1.84607,2.01219,6.30846e-05,6.30846e-05,6.30846e-05
49,11004.2,1.1692,1.11789,1.39017,0.61439,0.56022,0.57984,0.2956,1.8609,1.84349,2.01213,4.50864e-05,4.50864e-05,4.50864e-05
50,11185.6,1.19557,1.11066,1.4087,0.55437,0.60619,0.57394,0.29438,1.86307,1.86726,2.00886,2.70882e-05,2.70882e-05,2.70882e-05
