epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.193,2.07082,4.04226,2.06865,0.00479,0.64236,0.10052,0.03265,2.00575,4.29784,2.15376,0.000296114,0.000296114,0.000296114
2,264.024,1.95589,3.45933,1.99678,0.6911,0.09183,0.13245,0.0519,2.19846,3.87999,2.37922,0.000587251,0.000587251,0.000587251
3,385.739,1.90867,3.23912,1.96609,0.40137,0.152,0.13701,0.04473,2.36905,4.10286,2.5803,0.00086639,0.00086639,0.00086639
4,508.044,1.87385,3.04888,1.96692,0.30792,0.23998,0.16755,0.06018,2.26145,5.23842,2.46339,0.000855005,0.000855005,0.000855005
5,630.575,1.90194,2.96649,1.96353,0.1774,0.28991,0.14984,0.0609,2.16893,4.32782,2.40589,0.000837007,0.000837007,0.000837007
